From file: CTD 1363 060521;Instrument no.:;1363;;;;;;;;;
Ser;Interval (sec);Integration;Air pressure;Salinity;Chart Datum (dbar);;;;;;
1;2;;1023,85;;;;;;;;
;;;;;;;;;;;
Ser;Meas;Sal.;Temp;Ox %;mg/l;F (?g/l);T (FTU);Density;Press;Date;Time
1;1;0;10,732;82,65;9,27;1,43;0,01;-0,366;0;4-5-2021;10:08:22
1;2;0;10,723;79,45;8,91;0,06;0,01;-0,365;0;4-5-2021;10:08:24
1;3;0;10,754;78,19;8,76;0,06;0,01;-0,368;0,01;4-5-2021;10:08:26
1;4;0;10,734;77,17;8,65;0,06;0,01;-0,366;0;4-5-2021;10:08:28
1;5;0;10,667;76,16;8,55;0,07;0,01;-0,36;0;4-5-2021;10:08:30
1;6;0;10,625;75,25;8,46;0,08;0,01;-0,356;0;4-5-2021;10:08:32
1;7;0;10,536;74,33;8,37;0,84;0,01;-0,347;0;4-5-2021;10:08:34
1;8;0;10,353;73,54;8,32;2,49;0,01;-0,33;0;4-5-2021;10:08:36
1;9;0;9,967;72,81;8,31;1,81;0,01;-0,295;0;4-5-2021;10:08:38
1;10;0;9,311;72,08;8,36;0,45;0,01;-0,24;0;4-5-2021;10:08:40
1;11;0;9,029;71,53;8,35;1,49;0,01;-0,219;0;4-5-2021;10:08:42
1;12;0;8,891;71,15;8,33;2,49;0,01;-0,209;0;4-5-2021;10:08:44
1;13;0;8,818;70,9;8,32;0,71;0,01;-0,203;0;4-5-2021;10:08:46
1;14;0;8,509;70,72;8,36;1,63;0,01;-0,182;0;4-5-2021;10:08:48
1;15;0;8,126;70,48;8,41;0;0,01;-0,157;0;4-5-2021;10:08:50
1;16;0;7,744;69,77;8,4;0,01;0,01;-0,134;0;4-5-2021;10:08:52
1;17;0;7,28;69,35;8,45;1,99;0,01;-0,109;0;4-5-2021;10:08:54
1;18;0;6,879;69,03;8,49;2,49;0,01;-0,09;0;4-5-2021;10:08:56
1;19;0;6,538;68,94;8,56;0,01;0,01;-0,076;0;4-5-2021;10:08:58
1;20;0;6,448;68,89;8,57;0,01;0,01;-0,072;0;4-5-2021;10:09:00
1;21;0;6,397;68,41;8,52;7,49;3,62;-0,071;0;4-5-2021;10:09:02
1;22;0;4,922;43,83;5,67;0,99;2,98;-0,032;0;4-5-2021;10:09:04
1;23;0,04;0,716;67,32;9,75;0,17;1,28;-0,081;0;4-5-2021;10:09:06
1;24;0,05;0,391;68,29;9,98;0,19;0,71;-0,091;0;4-5-2021;10:09:08
1;25;0,05;0,228;97,05;14,24;0,18;0,8;-0,101;0;4-5-2021;10:09:10
1;26;0,03;0,266;103,54;15,18;0,18;0,38;-0,115;0;4-5-2021;10:09:12
1;27;0,02;0,258;100,32;14,71;0,2;0,11;-0,124;0;4-5-2021;10:09:14
1;28;0,01;0,249;99,95;14,66;0,22;0,11;-0,133;0;4-5-2021;10:09:16
1;29;0,01;0,242;99,15;14,55;0,21;0,17;-0,133;0;4-5-2021;10:09:18
1;30;0,01;0,245;98,66;14,48;0,22;0,2;-0,133;0;4-5-2021;10:09:20
1;31;0,02;0,243;100,24;14,71;0,2;0,45;-0,125;0;4-5-2021;10:09:22
1;32;0,01;0,267;102,31;15;0,21;0,19;-0,132;0;4-5-2021;10:09:24
1;33;0,02;0,289;103,29;15,13;0,22;0,17;-0,122;0;4-5-2021;10:09:26
1;34;0,01;0,283;103,48;15,17;0,22;0,19;-0,131;0;4-5-2021;10:09:28
1;35;0,03;0,281;103,28;15,14;0,22;0,24;-0,114;0;4-5-2021;10:09:30
1;36;0,01;0,282;103,89;15,23;0,21;0,16;-0,131;0;4-5-2021;10:09:32
1;37;0,02;0,297;104,8;15,35;0,22;0,13;-0,122;0;4-5-2021;10:09:34
1;38;0,02;0,28;104,76;15,35;0,22;0,14;-0,123;0;4-5-2021;10:09:36
1;39;0,01;0,28;105,17;15,42;0,25;0,29;-0,131;0;4-5-2021;10:09:38
1;40;0,01;0,299;104,97;15,38;0,24;0,14;-0,13;0;4-5-2021;10:09:40
1;41;0,01;0,322;104,64;15,32;0,28;0,15;-0,128;0;4-5-2021;10:09:42
1;42;0,02;0,314;104,8;15,35;0,22;0,15;-0,121;0;4-5-2021;10:09:44
1;43;0,03;0,336;102,51;15;0,22;0,14;-0,111;0;4-5-2021;10:09:46
1;44;0,03;0,361;102,8;15,03;0,23;0,12;-0,109;0;4-5-2021;10:09:48
1;45;0,03;0,344;103,94;15,21;0,24;0,16;-0,11;0;4-5-2021;10:09:50
1;46;0,02;0,297;103,83;15,21;0,25;0,13;-0,122;0;4-5-2021;10:09:52
1;47;0,02;0,298;104,04;15,24;0,25;0,15;-0,122;0;4-5-2021;10:09:54
1;48;0,02;0,315;104,14;15,25;0,25;0,12;-0,12;0;4-5-2021;10:09:56
1;49;0,03;0,331;104,64;15,31;0,24;0,12;-0,111;0;4-5-2021;10:09:58
1;50;0,03;0,348;104,12;15,23;0,25;0,12;-0,11;0;4-5-2021;10:10:00
1;51;0,02;0,368;104,53;15,28;0,26;0,14;-0,117;0;4-5-2021;10:10:02
1;52;0,03;0,357;104,26;15,25;0,27;0,12;-0,11;0;4-5-2021;10:10:04
1;53;0,02;0,337;104,13;15,24;0,26;0,12;-0,119;0;4-5-2021;10:10:06
1;54;0,02;0,354;103,94;15,2;0,27;0,13;-0,118;0;4-5-2021;10:10:08
1;55;0,02;0,38;103,71;15,16;0,3;0,12;-0,116;0;4-5-2021;10:10:10
